,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2023-03-30,DSNG.JK,3141392000,3120412000,1621084000,331100000,15476271000,7101092000,8248191000,432511000,523219000,-421006000,-66411000,256215000,327976000,2066374000,213765000,106380000,1543155000,393488000,20.17,393478000
1,2022-09-29,DSNG.JK,2935322000,2824965000,1532580000,345488000,14650042000,6938939000,7581452000,677015000,954779000,-342626000,-209653000,307113000,684908000,2798615000,430374000,94673000,1843836000,648988000,,656201000
2,2022-06-29,DSNG.JK,2807315000,2649217000,1556824000,316459000,14482908000,7202411000,7151078000,27158000,725230000,-258348000,27813000,182380000,486256000,2142536000,258069000,93431000,1417306000,456875000,,460892000
3,2022-03-30,DSNG.JK,2614651000,2258588000,1264573000,390390000,14174588000,6940559000,7105006000,340098000,461440000,-240640000,-133578000,385757000,375321000,1644637000,204669000,94443000,1183197000,369156000,19.31,374229000
