,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,ANDI.JK,77817661,51320418,15886865,15020216,444210370,205516462,238693909,19153777,1200021,-2994706,-8600716,15020216,-28003810,71876919,-23830321,3654370,70676898,-20739893,,-15498761
1,2022-09-29,ANDI.JK,83154026,50263214,40764067,7461861,472247606,209939198,262308408,10254559,32442341,-3621768,-3725660,7461861,20390289,70104423,16799149,3791971,37662082,20375584,,21307454
2,2022-06-29,ANDI.JK,70791394,56444684,52173437,4554730,465328805,219819547,245509259,-5228682,-13712660,-3309073,-1837838,4554730,-10305365,104735696,-14949882,3698908,118448356,-11460466,,-10100558
3,2022-03-30,ANDI.JK,103070407,68283186,42918240,14930324,495992235,235533094,260459141,8979064,2848930,-1992978,-2034386,14930324,15967119,71138608,11193384,3824566,68289678,14790447,4.86,16181774
