,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,TLDN.JK,1756866967,1521098794,619047794,587554526,5224551902,3044544460,2179976035,400097315,224188988,-49372385,-191433000,587554526,125518191,1145499125,13505668,32689795,921310136,127962055,,134596033
1,2022-09-29,TLDN.JK,1976386640,1539510112,910520299,428262596,5427074583,3304110682,2122933797,336077992,169993577,-25560958,-172927074,428262596,64613311,697539642,53338601,34085214,527546067,66966503,,66966503
2,2022-06-29,TLDN.JK,1681968054,1204466886,840680763,290672636,5115271340,3045489535,2069752193,-40923147,431162659,-32303789,197749059,290672636,266094965,933781176,211567040,36794705,502618516,268388672,,271139725
3,2022-03-30,TLDN.JK,1395365037,1421145501,724934909,166150513,4807267054,3154938373,1652300506,104247775,421177197,-17044088,-161919564,166150513,380938605,836356735,295562543,37042861,415179538,383136345,23.78,385801186
