,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,UNSP.JK,707427000,8305609000,396616000,144360000,4540302000,10496922000,-5478833000,179329000,279818000,21480000,-72177000,144360000,78817000,2026698000,13802000,61432000,1746880000,486055000,,-432874000
1,2022-09-29,UNSP.JK,1080800000,8141884000,558865000,160864000,5373498000,10377846000,-4173091000,-184216000,156813000,-1299000,-1756000,68938000,60114000,717026000,-126146000,44512000,560213000,-123994000,,-116132000
2,2022-06-29,UNSP.JK,1053303000,7916147000,535366000,257062000,5222047000,10125271000,-4076000000,-210857000,81787000,11009000,89100000,257062000,32405000,252770000,304604000,39567000,170983000,701572000,,-154389000
3,2022-03-30,UNSP.JK,1438260000,11085645000,736561000,366335000,8257202000,15140904000,-5677626000,131171000,267465000,-92504000,59048000,366335000,143846000,1192836000,24510000,32024000,925371000,60619000,9.8,74804000
