,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,ANJT.JK,59148,40470,20729,10821,602590,178479,422006,23520,7507,-13661,-16700,10821,3324,67298,352.345,1394,59791,3732,,3687
1,2022-09-29,ANJT.JK,80187,39426,30683,17662,625219,198937,424359,10487,8783,-7672,-11871,17662,5205,57720,1853.0,1257,48937,5320,,5487
2,2022-06-29,ANJT.JK,91466,47910,32194,26719,641769,211654,427984,2010,18046,-8644,-5446,26719,14208,68602,8280.0,1145,50556,13710,,13990
3,2022-03-30,ANJT.JK,95917,49404,29318,38799,663217,219183,441465,23979,19536,-3202,-9119,38799,16260,75546,11236.0,1270,56010,16812,0.0,16965
