,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,LSIP.JK,5107489000,709627000,814576000,3847390000,12417013000,1481306000,10935562000,326456000,395122000,-112143000,-1211000,3847390000,337938000,1540734000,272202000,146000,1145612000,326848000,,393758000
1,2022-09-29,LSIP.JK,5006057000,811654000,1051791000,3606410000,12403555000,1814443000,10588697000,267779000,256520000,-83998000,-348915000,3606410000,228312000,997287000,215486000,156000,740767000,269721000,,272878000
2,2022-06-29,LSIP.JK,5121590000,811616000,878240000,3749678000,12506873000,1785553000,10720658000,352083000,399924000,-86633000,-1167000,3749678000,261474000,1282395000,244132000,176000,882471000,307697000,,310922000
3,2022-03-30,LSIP.JK,4776478000,717778000,973634000,3460392000,12207153000,1729979000,10476166000,140947000,439878000,-51084000,-1145000,3460392000,383989000,764932000,304628000,198000,325054000,379935000,45.0,409356000
