,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,GZCO.JK,456869000,455883000,210937000,165210000,2045406000,892864000,1107139000,230359000,75017000,-66730000,-47781000,165210000,51655000,173081000,81714000,10300000,98064000,102472000,,104328000
1,2022-09-29,GZCO.JK,161353000,380741000,102500000,49362000,1784609000,714939000,1024414000,37289000,34377000,-8891000,-46918000,49362000,15181000,119549000,7624000,10086000,85172000,23550000,,25750000
2,2022-06-29,GZCO.JK,169931000,352500000,86473000,67882000,1817533000,755749000,1016790000,-41581000,5837000,99668000,-35495000,67882000,-12176000,110212000,-27434000,11478000,104375000,-20522000,,-18453000
3,2022-03-30,GZCO.JK,224385000,328807000,56228000,45290000,1904725000,815344000,1044224000,-47386000,7299000,11623000,-31567000,45290000,-8240000,151879000,13730000,11768000,144580000,31389000,2.0,33501000
