,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,MGRO.JK,1429234676,1423463510,693644235,457603973,2561664000,1916291204,606893257,158078640,143303672,-65047179,-64535659,457603973,46522327,1887255791,28014868,26859584,1743952118,41045545,,40228465
1,2022-09-29,MGRO.JK,1546194022,1424475674,762677946,429108171,2644782584,2017409341,583900117,47608013,126304914,-48281378,147172858,429108171,-10281842,1439773855,-45533505,25806733,1313468941,-9532443,,-8026317
2,2022-06-29,MGRO.JK,1508066917,1242910921,763707282,282608678,2490603339,1812743256,618920282,-209731988,287734277,-16680939,399963234,282608678,34605793,1755577190,-8442026,25491459,1667070752,29659455,,32107068
3,2022-03-30,MGRO.JK,1199371610,1042356601,621634744,109058369,2188025151,1471671699,652039337,-281686445,171266524,-3097433,303079176,109058369,29690766,2423094106,5856201,17446482,2052599742,27809162,1.66,30163623
