,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-09-29,PSGO.JK,1064251516,473810645,252484528,477060972,3876939712,2311622927,1565044765,187597011,49353451,-83286358,-80988913,477060972,-1302544,360887205,-27737874,36221976,311533754,15629316,,2964441
1,2022-06-29,PSGO.JK,1111930814,427577271,312360864,453739232,3859651871,2266597188,1592782639,34890369,169450532,33897962,-19164479,453739232,134711710,543790241,72590950,36318806,374339708,137980421,,136404958
2,2022-03-30,PSGO.JK,963475625,395899188,226511035,404115379,3782697886,2262234176,1520191690,59266765,165875342,47756720,-70364629,404115379,152305555,576083637,95651660,38891878,410208295,155964377,5.07,156528312
