,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,FAPA.JK,1808824969,2052811807,956459004,507768260,8624008935,4724996944,3711093420,770150011,395218617,-174972296,-392841689,80029069,334852323,1390637044,163085079,46251162,995418427,293082258,,293605252
1,2022-09-29,FAPA.JK,1762830263,2064923699,1105035868,305874907,8496384987,4759339164,3544131597,416458735,258949779,-177384625,-344576187,-122306957,183837647,902598586,111566446,47696870,643648807,200927115,,201614898
2,2022-06-29,FAPA.JK,1460512764,1692880982,843171548,129702759,8160827323,4517011367,3432792192,233491759,497381263,-111537123,-363950434,-16804880,395687325,1422976885,146122074,36387396,925595621,236713749,,236230954
3,2022-03-30,FAPA.JK,1473348047,1756123184,834263642,287092662,8155028265,4666063691,3286897160,475636837,464780313,-88370568,-328520426,225190919,390484336,1112421086,288370346,38857211,647640773,432166482,79.45,432703332
