,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,TBLA.JK,11374948000,9485740000,5298796000,590584000,23673644000,16841410000,6820199000,200540000,868115000,-333069000,198601000,590584000,599211000,4794068000,265537000,279682000,3925953000,601691000,,626100000
1,2022-09-29,TBLA.JK,9806161000,7658106000,3889155000,512833000,21860690000,15088774000,6763474000,1744201000,854285000,-253435000,-1334912000,512833000,595867000,3782456000,153256000,255894000,2928171000,444642000,,468839000
2,2022-06-29,TBLA.JK,10320673000,7536990000,3836006000,342253000,22488064000,15611679000,6867972000,-409976000,869094000,-430935000,446946000,342253000,515200000,4152184000,179328000,244033000,3283090000,482633000,,505773000
3,2022-03-30,TBLA.JK,9850003000,7904781000,3429036000,730514000,21815652000,15118817000,6688644000,-511556000,883229000,-271414000,820176000,730514000,537762000,3851252000,202568000,218174000,2968023000,489135000,37.89,515927000
