,time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
0,2022-12-30,JAWA.JK,262493584,655779238,190865678,112723,3589642467,3471237599,108773597,-14928732,-9228891,-27515961,43006910,1982726,-21854631,224032467,-122874859,40860357,233261358,-55352756,,-41232767
1,2022-09-29,JAWA.JK,312460563,646047676,208371933,116320,3665593487,3506641347,148662344,-29343072,-5039362,-26999237,46520066,1420508,-26846596,210927836,-87944631,41374111,215967198,-51370751,,-51254034
2,2022-06-29,JAWA.JK,312189004,596042367,200356207,206422,3663674479,3436754236,216109168,-66506986,35939802,-20931122,95066533,11242751,20149315,279011655,-37342270,41706640,243071853,5359995,,5470953
3,2022-03-30,JAWA.JK,282146992,641926395,198856335,206516,3635689896,3430074335,194694009,-27267191,5625064,-29091077,47216533,3614326,5427,257569560,-52044315,42055390,251944496,-13260383,-13.79,-13153152
