time,company,net_profit_margin,current_ratio,acidtest_ratio,cash_ratio,operating_cash_flow_ratio,debt_ratio,return_on_asset_ratio,debt_to_equity_ratio,interest_coverage_ratio,return_on_equity_ratio,gross_margin_ratio,operating_margin_ratio
2023-03-30,AALI.JK,0.04719821321455035,3.7419252306971997,2.1329081315314413,0.9367178064641253,0.17275916887299483,0.23479733534792177,0.007646545894349391,0.31472108329480825,5.886413225246461,0.010249388919883282,0.10709076917131398,0.034802956244423644
2022-12-30,AALI.JK,0.09615276719781331,3.6000134441403278,1.9461864185930513,0.7889255355371008,0.03899628776110737,0.23953084069589262,0.01746042816692616,0.3231003064604621,12.609379088958287,0.02355216420263441,0.21857656415387125,0.13849544809449557
2022-09-29,AALI.JK,0.0732272881096158,1.6374753811793352,1.0764958767523916,0.7341659970588474,0.35253021369904614,0.3365889826938308,0.012457255431826991,0.5203996298684805,6.465355129430583,0.01926014055485811,0.15138900920699133,0.08085460532370532
2022-06-29,AALI.JK,0.07433881523190486,1.6669389102741046,0.8301991591276016,0.3473548554301239,-0.1604252112609802,0.2938679320326627,0.010777967700131438,0.4265751670846173,6.096467825173312,0.015645168701174113,0.18848867457807844,0.11472201050449451
2022-03-30,AALI.JK,0.07345820086879215,1.6496395027858273,1.0726980609312042,0.6380931728453024,0.050963078399155225,0.3049764354927517,0.015478995031405629,0.45072313884362325,8.748414538138558,0.022876328839727053,0.1510886644185871,0.10381046601434575
2022-12-30,ANDI.JK,-0.33154344025235694,1.5163099606866024,1.206747692507103,0.2926752467214901,0.3732194270124612,0.46265570522363086,-0.05364647610545427,0.8610042160732304,-5.67536757361734,-0.09983631798497213,0.016695498592531492,-0.3896078238968479
2022-09-29,ANDI.JK,0.23963037253726488,1.654371445486952,0.8433594994542132,0.14845570758766044,0.20401717645831402,0.44455322871451464,0.035572756296831286,0.8003525300645338,5.373349110528535,0.06404350180036929,0.46277167133948166,0.2908559564066307
2022-06-29,ANDI.JK,-0.1427391287875721,1.2541729173291147,0.32984429499153545,0.08069369296141334,-0.09263373677492817,0.4723961737120486,-0.032127566227068194,0.895361535020559,-3.0983376715506306,-0.06089335310974972,-0.13092632716165842,-0.09839400885825975
2022-03-30,ANDI.JK,0.15734612068878268,1.5094551534253249,0.8809220911279682,0.21865300778437607,0.13149743774404435,0.47487254311551874,0.022567659753786266,0.9042995883949414,3.8672223201273033,0.04297558518017227,0.04004759272208419,0.22445082141612893
2022-12-30,ANJT.JK,0.005235593925525276,1.461527057079318,0.949320484309365,0.26738324684951814,0.58117123795404,0.29618646177334507,0.0005847176355399194,0.4229300057345156,2.677187948350072,0.0008349288872670057,0.11154863443192962,0.04939225534191209
2022-09-29,ANJT.JK,0.0321032571032571,2.0338609039719984,1.2556181200223202,0.4479784913508852,0.265991984984528,0.3181877070274576,0.002963761497971111,0.46879411064688153,4.232299124900557,0.004366585838876989,0.15216562716562718,0.09017671517671517
2022-06-29,ANJT.JK,0.1206961896154631,1.909121269046128,1.237152995199332,0.5576915049050303,0.041953663118346904,0.32979779328699266,0.012901838511987958,0.49453717895996113,11.973799126637555,0.01934651762682717,0.26305355528993324,0.20710766449957727
2022-03-30,ANJT.JK,0.14873057474915946,1.9414824710549754,1.3480487409926323,0.7853412679135293,0.4853655574447413,0.3304845925240155,0.01694166464369882,0.4964900954775577,13.237795275590551,0.025451621306332325,0.25859741084901916,0.21523310301008658
2022-12-30,BWPT.JK,0.02775871259344755,0.5549814217515758,0.32603618074107943,0.03207620322588628,0.07183677774334088,0.8323203994120211,0.002577479832402454,5.028250137272142,1.4180078053438292,0.015571183080757535,0.2704954647377301,0.21100797800871368
2022-09-29,BWPT.JK,0.15564011138975425,0.6073996448729534,0.3707878351515509,0.05164825688655714,0.03076506829575883,0.8324020280491035,0.014411964784871582,5.0406100448807,1.0671385320350217,0.08727164520652185,0.23483333080201874,0.14038253821763885
2022-06-29,BWPT.JK,0.01868765544480543,0.6401681895915794,0.4073498223708044,0.04897863612937158,0.05211641558985673,0.8466136361612349,0.0024275367218631184,5.612899257862151,1.06659324088584,0.01609414080118086,0.1455642606762571,0.08911026218198484
2022-03-30,BWPT.JK,-0.2923809063288283,0.6268716758598666,0.36416909245644863,0.031254650243192045,0.0039408982305249906,0.847856737876244,-0.01811759218475804,5.660124407204394,-0.44072258028669853,-0.12094947311687554,0.31199949496170576,0.21436054898737136
2022-06-29,CBUT.JK,-0.0021945518205888086,1.0169027973667708,0.4930225248453146,0.06596780615608476,0.06984002494447995,0.9355627592980212,-0.0012582530797630488,14.51897612476897,-0.04195248036584154,-0.019526799503759778,0.19180454048147827,0.010459155727104458
2022-03-30,CBUT.JK,0.01898619793803073,,,,,,,,5.340999676828612,,0.19753026248831868,0.03068312229989765
2023-03-30,DSNG.JK,0.1034493271789134,1.0067234711313762,0.48721386791231414,0.1061077832029873,0.1386070172784876,0.45883740340292567,0.013812435825141599,0.8609272020980115,3.6988907689415305,0.025916591892695018,0.25320634115605406,0.15872054139279723
2022-09-29,DSNG.JK,0.15378106670621003,1.039064908768781,0.4965519926795553,0.1222981523664895,0.2396542966019048,0.473646355416592,0.029376980625721073,0.9152519860311719,6.855048429858566,0.05676669851632642,0.34116125297691896,0.24473105446801363
2022-06-29,DSNG.JK,0.12045025147768812,1.0596772555815548,0.4720228656240693,0.1194537857789679,0.010251330864931034,0.4973042016147586,0.017818866211122796,1.007178358283884,4.889972279008038,0.03608812545465173,0.3384913952437672,0.22695347942811697
