time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
2022-03-30,TAPG.JK,3093747000.0,1797610000.0,1285827000.0,1575815000.0,13340725000.0,4640767000.0,8386729000.0,657322000.0,825152000,-162340000.0,-202059000.0,1575815000.0,763921000,2190911000,873509000.0,30609000,1365759000,1107318000,44.0,1087318000
2022-12-30,TBLA.JK,11374948000.0,9485740000.0,5298796000.0,590584000.0,23673644000.0,16841410000.0,6820199000.0,200540000.0,868115000,-333069000.0,198601000.0,590584000.0,599211000,4794068000,265537000.0,279682000,3925953000,601691000,,626100000
2022-09-29,TBLA.JK,9806161000.0,7658106000.0,3889155000.0,512833000.0,21860690000.0,15088774000.0,6763474000.0,1744201000.0,854285000,-253435000.0,-1334912000.0,512833000.0,595867000,3782456000,153256000.0,255894000,2928171000,444642000,,468839000
2022-06-29,TBLA.JK,10320673000.0,7536990000.0,3836006000.0,342253000.0,22488064000.0,15611679000.0,6867972000.0,-409976000.0,869094000,-430935000.0,446946000.0,342253000.0,515200000,4152184000,179328000.0,244033000,3283090000,482633000,,505773000
2022-03-30,TBLA.JK,9850003000.0,7904781000.0,3429036000.0,730514000.0,21815652000.0,15118817000.0,6688644000.0,-511556000.0,883229000,-271414000.0,820176000.0,730514000.0,537762000,3851252000,202568000.0,218174000,2968023000,489135000,37.89,515927000
2022-12-30,TLDN.JK,1756866967.0,1521098794.0,619047794.0,587554526.0,5224551902.0,3044544460.0,2179976035.0,400097315.0,224188988,-49372385.0,-191433000.0,587554526.0,125518191,1145499125,13505668.0,32689795,921310136,127962055,,134596033
2022-09-29,TLDN.JK,1976386640.0,1539510112.0,910520299.0,428262596.0,5427074583.0,3304110682.0,2122933797.0,336077992.0,169993577,-25560958.0,-172927074.0,428262596.0,64613311,697539642,53338601.0,34085214,527546067,66966503,,66966503
2022-06-29,TLDN.JK,1681968054.0,1204466886.0,840680763.0,290672636.0,5115271340.0,3045489535.0,2069752193.0,-40923147.0,431162659,-32303789.0,197749059.0,290672636.0,266094965,933781176,211567040.0,36794705,502618516,268388672,,271139725
2022-03-30,TLDN.JK,1395365037.0,1421145501.0,724934909.0,166150513.0,4807267054.0,3154938373.0,1652300506.0,104247775.0,421177197,-17044088.0,-161919564.0,166150513.0,380938605,836356735,295562543.0,37042861,415179538,383136345,23.78,385801186
2022-12-30,UNSP.JK,707427000.0,8305609000.0,396616000.0,144360000.0,4540302000.0,10496922000.0,-5478833000.0,179329000.0,279818000,21480000.0,-72177000.0,144360000.0,78817000,2026698000,13802000.0,61432000,1746880000,486055000,,-432874000
2022-09-29,UNSP.JK,1080800000.0,8141884000.0,558865000.0,160864000.0,5373498000.0,10377846000.0,-4173091000.0,-184216000.0,156813000,-1299000.0,-1756000.0,68938000.0,60114000,717026000,-126146000.0,44512000,560213000,-123994000,,-116132000
2022-06-29,UNSP.JK,1053303000.0,7916147000.0,535366000.0,257062000.0,5222047000.0,10125271000.0,-4076000000.0,-210857000.0,81787000,11009000.0,89100000.0,257062000.0,32405000,252770000,304604000.0,39567000,170983000,701572000,,-154389000
2022-03-30,UNSP.JK,1438260000.0,11085645000.0,736561000.0,366335000.0,8257202000.0,15140904000.0,-5677626000.0,131171000.0,267465000,-92504000.0,59048000.0,366335000.0,143846000,1192836000,24510000.0,32024000,925371000,60619000,9.8,74804000
