company,debt_ratio,return_on_equity_ratio,current_ratio,return_on_asset_ratio,debt_to_equity_ratio,EPS,Performance_Score
AALI.JK,0.29374104772878445,0.0203334505745984,2.1385168095948988,0.0140436615825725,0.43019956056429576,251.18,0.7104441072398725
ANDI.JK,0.46361941269142815,-0.013427646028545098,1.4835773692319985,-0.006908406570476223,0.8652544673883161,4.86,0.22833668168770113
ANJT.JK,0.3186641386529527,0.012499913414825824,1.836497925288105,0.008347995572299427,0.47068784770472893,0.0,0.9015415859881477
BWPT.JK,0.8397982003746509,-0.0005031260071038518,0.6073552330189937,0.00032484728859475103,5.335470961804846,-6.9,0.3203535396135667
CBUT.JK,0.9355627592980212,-0.0195267995037597,1.0169027973667708,-0.001258253079763,14.51897612476897,,0.16217622539200593
DSNG.JK,0.48686619355450045,0.0405537110708864,1.085463553260665,0.020544998891052133,0.9664283713455245,19.31,0.6357537287161131
FAPA.JK,0.5584296291760479,0.05143108396019243,0.8591407630400428,0.0213269965642482,1.3378811713569914,79.45,0.6300078070095484
GZCO.JK,0.420252419644413,0.01685407123669565,0.6476112427843882,0.00908410060019915,0.7571109728416716,2.0,0.8577545228596064
JAWA.JK,0.9512897352515723,-0.5403296494372885,0.46180706498501245,-0.020682430674026225,22.25527333187892,-13.79,0.4241430520700772
LSIP.JK,0.1375162005411431,0.0242730808863099,6.582511379804356,0.020942330969142227,0.15962539591415742,45.0,0.6330813547738136
MGRO.JK,0.7278222687266936,-0.009119779591415102,1.1133678622824652,-0.0017483060686895248,2.9496276101982204,1.66,0.12326282815266623
MKTR.JK,0.6900259955400482,0.0474885490881498,0.8811680114900347,0.0146068102722626,2.243359963641617,0.76,0.6985193815343137
PSGO.JK,0.5938505007018051,0.030257446621601763,2.4267767221385386,0.012313228800773233,1.4627332552627295,5.07,0.7443550346775759
SGRO.JK,0.5134552941657461,0.05584465818970077,1.182784036110834,0.02637781066274843,1.0870981124102004,136.0,0.6030334470813599
SIMP.JK,0.43781543173083093,0.01832938742142355,1.0954765784479386,0.00817260150110295,0.9850447351342774,19.0,0.9055007098981389
SMAR.JK,0.6031540021308173,0.0796068170313201,1.7575902160886379,0.03214521589399942,1.5400856441295623,317.0,0.5831359008077386
SSMS.JK,0.5316507226703663,0.06678290020253039,0.9765022315463364,0.03182804368391863,1.1446269582406035,103.9,0.584109930868005
STAA.JK,0.39211503282783705,0.07566182239733736,2.613493641866833,0.041772399480284605,0.703962505380785,42.0,0.5630366729742481
TAPG.JK,0.3198305756072582,0.08275588458061497,1.7200873370127034,0.0536924876200136,0.4907662491871776,44.0,0.5484576377713035
TBLA.JK,0.6972175008047258,0.029497348736017927,1.2737687793764376,0.008871737013408475,2.308436991303674,37.89,0.8569170476233328
TLDN.JK,0.5956432638914263,0.04451293766458103,1.2784056148847454,0.017924388795973634,1.4748038177613507,,0.6579121587433667
